"NomeStazione","Lat","Long"
"CITTADELLA",44.7922310441,10.3316644601585
"MONTEBELLO",44.786998870968,10.3329191839758
"SARAGAT",44.781024040695,10.3494483281556
"BOGOLESE",44.8355549542172,10.397238232232
"PARADIGNA",44.8493793895167,10.343966534018
"CASTELLARANO",44.532198614246,10.7062606116368
"S. LAZZARO",44.6892963057813,10.6635850554895
"FEBBIO",44.3081529409084,10.4327586689986
"S. ROCCO",44.871614151894,10.6584000189606
"TIMAVO",44.6968699173127,10.6245325686283
"REMESINA",44.7986955009294,10.8829802128122
"PARCO FERRARI",44.6501109011372,10.9076619453465
"SAN FRANCESCO",44.5429473536571,10.7906086262944
"GAVELLO",44.9251214026659,11.178898321926
"PARCO EDILCARANI",44.5397390607416,10.7912678011623
"LUGAGNANO",44.8192445338718,9.82687335384107
"CENO",45.0516879506214,9.72458838028206
"GERBIDO",45.0547351083568,9.74913043160621
"GIORDANI-FARNESE",45.047743600118,9.69348247366984
"CORTE BRUGNATELLA",44.723674029652,9.35286545166767
"PARCO RESISTENZA",44.2176657325747,12.0495872802499
"ROMA",44.2072129834973,12.0770756262815
"FRANCHINI-ANGELONI",44.1425739588879,12.244745724427
"SAVIGNANO",44.088699245588,12.3936056946815
"SAVIGNANO DI RIGO",43.9244552517715,12.2224084106627
"DE AMICIS",44.5037121505018,11.3438920207369
"PORTA SAN FELICE",44.4993502181507,11.3273079858167
"SAN PIETRO CAPOFIUME",44.6515871126357,11.6488062976635
"VIA CHIARINI",44.4997120458238,11.2874812030128
"ISONZO",44.8377714922975,11.6113210956178
"GHERARDI",44.8387404438629,11.9534937233938
"CENTO",44.7321878971942,11.2869869399291
"VILLA FULVIA",44.8259217426592,11.6456722914114
"ZALAMELLA",44.4277982209859,12.188703029994
"CAORLE",44.4188683650784,12.2241761569776
"DELTA CERVIA",44.4253422238724,12.2042738508531
"FLAMINIA",44.034961360293,12.6017206569629
"MARECCHIA",43.9967461601843,12.4233886551095
"VERUCCHIO",43.9814526017441,12.42209
